@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {snake,Cheetah,frog,Fox,seal,panther,tiger}

@DATA
0.297281,0.014893,3.260727,0.318799,0.190847,2.294447,0.001120,0.486194,-27.564256,-1.450523,-0.166251,0.210078,0.057467,-0.105949,-0.068569,0.057337,0.079432,-0.122721,0.007462,-0.000797,0.057660,0.002679,0.001105,0.002493,0.002504,0.002054,0.001836,0.001827,0.001592,0.001678,0.002483,0.002907,0.001965,0.001548,0.025994,0.015648,0.065130,0.015915,0.013721,0.168862,0.000147,0.039857,1.532172,0.583089,0.451563,0.320144,0.246106,0.206960,0.196121,0.219000,0.192102,0.182844,0.132820,0.151150,0.182473,0.001685,0.000707,0.001723,0.001879,0.001784,0.001516,0.001089,0.001010,0.001269,0.001624,0.002213,0.001349,0.000647,snake
0.138352,0.043804,3.096780,0.160435,0.143754,1.202671,0.002247,0.191405,-23.520095,0.388752,-0.622955,0.109546,-0.023751,-0.024569,-0.157996,-0.173472,0.013375,-0.039971,-0.132206,-0.075232,-0.086978,0.010172,0.004814,0.010011,0.007370,0.006960,0.008512,0.008034,0.003306,0.008451,0.009508,0.016033,0.009050,0.006072,0.044333,0.044099,0.208087,0.016356,0.011087,0.375652,0.000857,0.058107,3.102389,0.892333,0.373521,0.280355,0.368442,0.315111,0.245486,0.257737,0.201217,0.214457,0.164043,0.189784,0.163145,0.008621,0.003967,0.007554,0.004207,0.002670,0.007299,0.005822,0.001819,0.004702,0.006540,0.011792,0.006819,0.002479,snake
0.102594,0.043728,2.912667,0.108208,0.091770,0.727358,0.160224,0.096461,-35.024595,-1.277678,0.373766,-0.068240,-0.220658,0.430861,0.009547,-0.093378,-0.280185,0.395260,-0.222715,0.100749,0.079920,0.000585,0.000668,0.003027,0.002045,0.067582,0.001598,0.005040,0.004624,0.002034,0.001793,0.000716,0.000480,0.020607,0.099883,0.062583,0.615629,0.083773,0.071642,0.581897,0.357683,0.083279,11.863224,1.187911,0.466345,0.236505,0.239475,0.401231,0.211957,0.241168,0.347909,0.355920,0.330566,0.206619,0.197669,0.001269,0.001099,0.005024,0.003086,0.075805,0.001977,0.008220,0.008437,0.002788,0.002165,0.001067,0.000899,0.019418,Cheetah
0.102594,0.043728,2.912667,0.108208,0.091770,0.727358,0.160224,0.096461,-35.024595,-1.277678,0.373766,-0.068240,-0.220658,0.430861,0.009547,-0.093378,-0.280185,0.395260,-0.222715,0.100749,0.079920,0.000585,0.000668,0.003027,0.002045,0.067582,0.001598,0.005040,0.004624,0.002034,0.001793,0.000716,0.000480,0.020607,0.099883,0.062583,0.615629,0.083773,0.071642,0.581897,0.357683,0.083279,11.863224,1.187911,0.466345,0.236505,0.239475,0.401231,0.211957,0.241168,0.347909,0.355920,0.330566,0.206619,0.197669,0.001269,0.001099,0.005024,0.003086,0.075805,0.001977,0.008220,0.008437,0.002788,0.002165,0.001067,0.000899,0.019418,Cheetah
0.035447,0.009460,2.280805,0.075195,0.112936,0.271956,0.014491,0.062661,-26.504284,1.564960,-1.516834,-0.216744,0.060971,0.452780,0.177152,0.603551,-0.216504,-0.021193,-0.461738,0.083559,-0.109074,0.009089,0.009794,0.022180,0.023964,0.023254,0.011787,0.014256,0.007603,0.006885,0.008310,0.011220,0.006369,0.011307,0.009850,0.006949,0.507684,0.023480,0.043367,0.193493,0.034362,0.023693,2.801416,0.632403,0.492603,0.345887,0.257250,0.223198,0.204453,0.232115,0.200888,0.178828,0.257705,0.173383,0.148545,0.006484,0.007288,0.010346,0.013325,0.020987,0.007925,0.009788,0.006531,0.004999,0.005904,0.007766,0.004680,0.005072,Cheetah
0.026277,0.021022,2.973130,0.073677,0.130505,0.078711,0.009786,0.040274,-25.768083,2.401433,-0.379158,0.607072,0.078122,0.102408,-0.014198,0.069106,0.022677,0.105395,0.139492,0.090269,0.091158,0.012695,0.003392,0.025096,0.008026,0.031132,0.012829,0.042867,0.003242,0.009547,0.028892,0.027563,0.008650,0.020667,0.008405,0.024951,0.282146,0.021089,0.039831,0.057891,0.005307,0.015903,2.160940,0.493183,0.583994,0.270612,0.236031,0.233912,0.276382,0.190290,0.233130,0.205619,0.229496,0.228400,0.200164,0.009093,0.003609,0.018249,0.006431,0.025667,0.009850,0.029847,0.003111,0.009126,0.021952,0.019167,0.009720,0.006996,Cheetah
0.039360,0.009427,2.281669,0.085510,0.120087,0.280398,0.004648,0.062654,-26.444696,1.565034,-1.512621,-0.213542,0.064553,0.456652,0.175749,0.600780,-0.218292,-0.023241,-0.461696,0.083510,-0.107180,0.009112,0.009819,0.022232,0.024004,0.021151,0.011815,0.014303,0.007622,0.006900,0.008347,0.011242,0.006385,0.010715,0.012432,0.006925,0.509193,0.043825,0.045765,0.200219,0.001895,0.023693,2.598893,0.632286,0.501892,0.345264,0.252115,0.217193,0.205631,0.237322,0.199958,0.179866,0.257602,0.174298,0.150020,0.006455,0.007252,0.010246,0.013257,0.014457,0.007888,0.009697,0.006513,0.004980,0.005862,0.007728,0.004659,0.003492,Cheetah
0.039693,0.007466,2.992249,0.126433,0.166978,0.317660,0.011940,0.051210,-34.123371,2.379471,-0.221779,-0.046214,-0.220450,-0.205913,0.259372,0.378809,0.267905,-0.067817,-0.459214,-0.057439,0.055399,0.011416,0.024323,0.035835,0.014806,0.016371,0.002888,0.018406,0.000763,0.001870,0.016835,0.051207,0.007333,0.024934,0.012090,0.019480,0.204437,0.024985,0.023353,0.183949,0.009299,0.031678,3.745692,0.323602,0.803969,0.484142,0.465497,0.342437,0.234487,0.326271,0.237933,0.152666,0.298911,0.146339,0.168909,0.009339,0.026670,0.024730,0.011974,0.016399,0.002674,0.016321,0.000853,0.001778,0.017676,0.039130,0.010898,0.006757,Cheetah
0.173175,0.003241,2.952402,0.320478,0.301958,1.253258,0.007929,0.367108,-29.395406,1.272984,0.440037,0.455023,0.333466,0.100911,0.079567,0.154521,0.017387,-0.040581,-0.051386,-0.008696,0.011696,0.006428,0.002165,0.112752,0.009783,0.017774,0.003111,0.075698,0.001009,0.002344,0.013121,0.018533,0.002188,0.037615,0.035527,0.012074,0.396407,0.024673,0.025833,0.272589,0.007864,0.122700,1.260750,0.186096,0.591528,0.204752,0.203529,0.200019,0.139763,0.155694,0.142682,0.145109,0.163184,0.132137,0.128526,0.004083,0.002104,0.041520,0.006976,0.010174,0.002152,0.043330,0.000628,0.001585,0.008958,0.011497,0.002328,0.011025,frog
0.036991,0.001490,3.019428,0.112744,0.160376,0.220331,0.016344,0.042264,-37.428843,0.923545,-1.295907,1.009305,-0.166241,-0.339385,0.113059,0.279795,-0.035555,0.010411,0.131261,0.117461,-0.006469,0.005150,0.005760,0.014882,0.010566,0.061089,0.005711,0.010744,0.002492,0.003590,0.003132,0.004014,0.003621,0.019754,0.013549,0.003098,0.421214,0.046516,0.053437,0.141995,0.045479,0.018619,5.781567,0.377660,0.432298,0.355826,0.165606,0.152928,0.172242,0.156231,0.135698,0.122389,0.153305,0.124933,0.124788,0.004791,0.005081,0.012516,0.009376,0.041324,0.004564,0.008591,0.002220,0.002865,0.002277,0.003217,0.003145,0.010011,frog
0.070791,0.010006,2.769598,0.092409,0.115649,0.205821,0.017749,0.088685,-28.831857,0.085666,-0.822023,1.453401,-0.117907,1.002281,-1.110939,0.676834,0.305943,-0.395828,0.334180,-0.092635,0.072940,0.009689,0.008411,0.013674,0.006540,0.021936,0.001356,0.008805,0.000476,0.001106,0.002998,0.007181,0.007167,0.010619,0.013554,0.015433,0.438852,0.024059,0.042369,0.184958,0.037385,0.011763,3.448336,0.946677,0.638777,0.593120,0.417564,0.414611,0.389122,0.464104,0.410094,0.326516,0.269902,0.227378,0.247579,0.011778,0.007462,0.010849,0.006091,0.023483,0.001362,0.011801,0.000582,0.001318,0.002855,0.007159,0.010588,0.006770,frog
0.047252,0.018943,2.185190,0.105540,0.155725,0.152394,0.006932,0.060928,-25.499827,1.210679,-1.711164,0.644353,-0.673729,-0.718504,-0.134116,0.085226,-0.508444,0.040205,-0.362848,0.150248,-0.256475,0.006741,0.004850,0.014780,0.020567,0.017582,0.013873,0.013302,0.004589,0.007636,0.003508,0.004945,0.005918,0.008870,0.016747,0.016818,0.730641,0.036050,0.053864,0.069953,0.003895,0.006314,3.472444,0.552844,0.512030,0.404508,0.155970,0.546250,0.148422,0.183605,0.251187,0.305797,0.413313,0.230207,0.247429,0.004859,0.003934,0.007542,0.012794,0.014703,0.007111,0.012859,0.003004,0.003545,0.001778,0.001983,0.003280,0.002337,frog
0.334611,0.003739,1.810264,0.404996,0.160400,1.404712,0.003682,0.485508,-29.725346,-0.075796,1.571172,-0.563273,0.721872,-0.296429,0.345535,-0.182783,0.161399,0.031450,-0.019392,0.123845,-0.039718,0.006412,0.002556,0.009663,0.000926,0.001228,0.000638,0.009798,0.001384,0.001261,0.002383,0.004624,0.002371,0.004623,0.045450,0.003845,0.923615,0.020368,0.031080,0.372113,0.002046,0.020147,0.956011,0.723613,0.402400,0.236939,0.308240,0.232707,0.157367,0.145662,0.130295,0.134005,0.138321,0.145439,0.146217,0.004933,0.002632,0.011280,0.001100,0.001591,0.000755,0.014224,0.001000,0.000850,0.002353,0.004314,0.001522,0.004050,frog
0.118217,0.021197,3.220678,0.133947,0.104878,0.952156,0.003324,0.163475,-25.738731,-2.649057,-1.027175,-0.246272,0.241557,0.094460,0.536451,0.180363,-0.150156,0.128223,-0.058235,0.020575,0.127441,0.003522,0.002353,0.002433,0.002264,0.004734,0.003304,0.005818,0.009430,0.002320,0.002469,0.006069,0.002231,0.004395,0.007461,0.021262,0.072479,0.009991,0.020518,0.056068,0.001029,0.004474,0.543417,0.311860,0.284598,0.186074,0.126516,0.225239,0.148124,0.129260,0.187961,0.186767,0.100311,0.107578,0.109028,0.002386,0.001032,0.001737,0.002311,0.001270,0.002297,0.003341,0.010067,0.001352,0.001321,0.001595,0.001539,0.002629,Fox
0.118217,0.021197,3.220678,0.133947,0.104878,0.952156,0.003324,0.163475,-25.738731,-2.649057,-1.027175,-0.246272,0.241557,0.094460,0.536451,0.180363,-0.150156,0.128223,-0.058235,0.020575,0.127441,0.003522,0.002353,0.002433,0.002264,0.004734,0.003304,0.005818,0.009430,0.002320,0.002469,0.006069,0.002231,0.004395,0.007461,0.021262,0.072479,0.009991,0.020518,0.056068,0.001029,0.004474,0.543417,0.311860,0.284598,0.186074,0.126516,0.225239,0.148124,0.129260,0.187961,0.186767,0.100311,0.107578,0.109028,0.002386,0.001032,0.001737,0.002311,0.001270,0.002297,0.003341,0.010067,0.001352,0.001321,0.001595,0.001539,0.002629,Fox
0.080632,0.065215,2.973280,0.114373,0.110178,0.666632,0.006478,0.112039,-23.336789,-0.746145,-0.035416,0.736892,-0.550925,0.298805,-0.067864,-0.387789,-0.274364,0.008313,-0.167245,-0.075140,-0.117225,0.009113,0.004232,0.005416,0.004617,0.004544,0.004491,0.008383,0.006060,0.007537,0.006866,0.006727,0.005653,0.007099,0.009215,0.054322,0.403214,0.016102,0.033766,0.212111,0.004211,0.019216,1.679442,0.633394,0.463231,0.409576,0.350353,0.407715,0.313512,0.331136,0.302923,0.273232,0.273170,0.271581,0.189335,0.010880,0.007179,0.007696,0.005355,0.004861,0.004168,0.009284,0.006499,0.008221,0.007729,0.006873,0.006821,0.004652,Fox
0.066938,0.031497,2.991954,0.139224,0.149151,0.617795,0.003346,0.115455,-23.571788,1.906134,0.067127,0.312543,-0.305627,-0.030326,-0.179096,0.116744,0.118667,0.010324,0.083224,-0.059719,0.030590,0.017782,0.005190,0.023580,0.011966,0.020906,0.012494,0.035907,0.001822,0.007702,0.020558,0.027348,0.011911,0.017344,0.018689,0.021768,0.239513,0.017316,0.015834,0.223720,0.001280,0.061060,0.944118,0.295344,0.301907,0.216026,0.241611,0.196687,0.196042,0.185422,0.166401,0.171438,0.163514,0.153854,0.142084,0.011905,0.003851,0.013596,0.009220,0.010956,0.009562,0.024593,0.001431,0.005750,0.015667,0.018897,0.015752,0.006336,seal
0.066938,0.031497,2.991954,0.139224,0.149151,0.617795,0.003346,0.115455,-23.571788,1.906134,0.067127,0.312543,-0.305627,-0.030326,-0.179096,0.116744,0.118667,0.010324,0.083224,-0.059719,0.030590,0.017782,0.005190,0.023580,0.011966,0.020906,0.012494,0.035907,0.001822,0.007702,0.020558,0.027348,0.011911,0.017344,0.018689,0.021768,0.239513,0.017316,0.015834,0.223720,0.001280,0.061060,0.944118,0.295344,0.301907,0.216026,0.241611,0.196687,0.196042,0.185422,0.166401,0.171438,0.163514,0.153854,0.142084,0.011905,0.003851,0.013596,0.009220,0.010956,0.009562,0.024593,0.001431,0.005750,0.015667,0.018897,0.015752,0.006336,seal
0.013955,0.053961,3.104878,0.085133,0.164065,0.042670,0.031111,0.016554,-26.992608,3.096729,0.095876,0.239885,-0.239437,-0.221926,-0.372989,-0.253870,-0.142238,-0.036712,0.038424,0.109790,-0.035992,0.026109,0.001011,0.054403,0.016529,0.034006,0.012048,0.046074,0.000915,0.043560,0.005224,0.022540,0.001407,0.049813,0.007302,0.045212,0.335390,0.029303,0.040533,0.062529,0.038549,0.012106,3.152302,0.836820,0.388238,0.349873,0.310136,0.318780,0.361189,0.294822,0.296387,0.290071,0.368697,0.381288,0.362842,0.040332,0.001400,0.067890,0.035336,0.050407,0.022733,0.064142,0.001184,0.057886,0.006259,0.036220,0.002171,0.018169,seal
0.032681,0.049282,3.197110,0.078149,0.130039,0.122474,0.007035,0.047505,-21.839277,2.407672,-1.008931,0.152584,-0.071868,0.078545,-0.219330,-0.077222,-0.079349,-0.046686,-0.201990,-0.039393,-0.210548,0.018055,0.006932,0.024909,0.016272,0.015514,0.022340,0.032043,0.006233,0.011282,0.016255,0.022110,0.008634,0.014950,0.005094,0.021585,0.060904,0.014679,0.028653,0.081600,0.002364,0.008918,0.454082,0.295588,0.199530,0.208187,0.209419,0.223501,0.187619,0.193120,0.201408,0.160878,0.209910,0.166064,0.154317,0.010718,0.005644,0.012442,0.011847,0.012304,0.017245,0.016270,0.006574,0.009642,0.009471,0.012342,0.003478,0.005665,seal
0.027064,0.093786,3.098183,0.083099,0.152146,0.031172,0.017999,0.035224,-24.541295,2.997295,-1.730162,-0.764848,-0.123331,0.009168,-0.161130,-0.104885,-0.052753,-0.052889,-0.067414,-0.150275,-0.129232,0.012547,0.010307,0.013578,0.020076,0.010568,0.017360,0.012764,0.009104,0.019856,0.019570,0.013013,0.014482,0.014372,0.002575,0.059844,0.248722,0.026378,0.043644,0.020149,0.015375,0.003118,0.996420,0.484907,0.357121,0.393666,0.183505,0.256720,0.227303,0.205507,0.183948,0.233383,0.165101,0.190217,0.190102,0.010761,0.007365,0.009084,0.020210,0.007713,0.013139,0.010021,0.008493,0.021532,0.019684,0.010727,0.018769,0.006429,seal
